run_id,test_id,model,prompt_version,actual_sentence,expected_sentence,is_match
16fb0eb9-b593-4c9e-81cb-78f69373ec07,1,gpt-3.5-turbo,v1_original.txt,She quickly ran to the store.,She quickly ran to the store.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,2,gpt-3.5-turbo,v1_original.txt,She goes to school every day.,She goes to school every day.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,3,gpt-3.5-turbo,v1_original.txt,"I bought eggs, milk, and bread.","I bought eggs, milk, and bread.",True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,4,gpt-3.5-turbo,v1_original.txt,I have gone to the store.,I have gone to the store.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,5,gpt-3.5-turbo,v1_original.txt,The cat is faster than the dog.,The cat is faster than the dog.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,6,gpt-3.5-turbo,v1_original.txt,She doesn't like apples.,She doesn't like apples.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,7,gpt-3.5-turbo,v1_original.txt,He is taller than his brother.,He is taller than his brother.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,8,gpt-3.5-turbo,v1_original.txt,He entered the room silently.,He entered the room silently.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,9,gpt-3.5-turbo,v1_original.txt,The information is accurate.,The information is accurate.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,10,gpt-3.5-turbo,v1_original.txt,I have a dog.,I have a dog.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,11,gpt-3.5-turbo,v1_original.txt,He speaks English well.,He speaks English well.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,12,gpt-3.5-turbo,v1_original.txt,Where are you going?,Where are you going?,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,13,gpt-3.5-turbo,v1_original.txt,She has a big dog and a red car.,She has a big dog and a red car.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,14,gpt-3.5-turbo,v1_original.txt,They were playing soccer yesterday but they didn't win.,They were playing soccer yesterday but they didn't win.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,1,gpt-3.5-turbo,v2.1_with_example.txt,She quickly ran to the store.,She quickly ran to the store.,True
16fb0eb9-b593-4c9e-81cb-78f69373ec07,2,gpt-3.5-turbo,v2.1_with_example.txt,She goes to school every day.,She goes to school every day.,True
